,Const,Runtime,Imdbvotes,Metascore,Award Status_Oscar Nom,Award Status_Oscar Win,Award Status_Other Nom,Award Status_Other Win,Genre Group_Action/Adventure,Genre Group_Drama/Thriller,Genre Group_Animation,Genre Group_Comedy,Genre Group_Horror
2352,1.0,102.0,36086.0,36.0,0,0,1,0,0,0,0,0,0
316,1.0,94.0,5978.0,48.0,0,0,0,1,0,0,0,1,0
225,1.0,90.0,2021.0,58.74590869939707,0,0,0,1,0,0,0,1,0
2007,1.0,83.0,2097.0,85.0,1,0,0,0,0,0,0,0,0
3165,1.0,95.0,23364.0,44.0,0,0,0,0,0,0,0,1,0
1560,1.0,118.0,18910.0,42.0,0,0,1,0,1,0,0,0,0
2538,1.0,89.0,7883.0,77.0,0,0,0,1,0,0,0,1,0
3228,1.0,108.0,354.0,71.0,0,0,0,1,0,0,0,0,0
3196,1.0,105.0,44304.0,38.0,0,0,1,0,0,0,0,1,0
621,1.0,96.0,875.0,58.74590869939707,0,0,1,0,0,1,0,0,0
1922,1.0,103.0,3117.0,73.0,0,0,0,1,0,1,0,0,0
571,1.0,78.0,108584.0,66.0,0,0,0,1,0,0,1,0,0
1717,1.0,130.0,25494.0,84.0,0,1,0,0,0,0,0,1,0
514,1.0,102.0,14236.0,58.74590869939707,0,0,0,0,1,0,0,0,0
1591,1.0,125.0,67114.0,64.0,1,0,0,0,0,0,0,0,0
2317,1.0,176.0,7172.0,58.74590869939707,0,0,0,1,0,1,0,0,0
2063,1.0,131.0,63389.0,53.0,0,0,1,0,0,1,0,0,0
2066,1.0,167.0,105830.0,61.0,1,0,0,0,0,1,0,0,0
1216,1.0,116.0,70616.0,50.0,0,0,0,1,1,0,0,0,0
505,1.0,105.0,181911.0,72.0,1,0,0,0,0,0,0,1,0
2171,1.0,95.0,42068.0,58.74590869939707,0,0,0,0,0,0,0,1,0
880,1.0,128.0,1042.0,58.74590869939707,0,0,0,1,0,1,0,0,0
2877,1.0,87.0,821.0,74.0,0,0,0,0,0,0,0,0,0
224,1.0,111.0,7027.0,58.74590869939707,1,0,0,0,0,0,0,0,0
144,1.0,100.0,138995.0,49.0,0,0,0,1,0,0,0,1,0
1938,1.0,97.0,33282.0,50.0,0,0,0,1,0,0,0,0,1
2708,1.0,102.0,10154.0,61.0,0,0,0,1,1,0,0,0,0
1886,1.0,99.0,8642.0,41.0,0,0,1,0,1,0,0,0,0
3278,1.0,97.0,148803.0,64.0,0,0,0,1,0,0,0,0,0
2890,1.0,100.0,43469.0,65.0,0,0,0,1,0,0,0,1,0
2953,1.0,105.0,47855.0,47.0,0,0,0,1,0,0,0,1,0
388,1.0,104.0,83921.0,16.0,0,0,1,0,1,0,0,0,0
2369,1.0,101.0,4622.0,34.0,0,0,0,0,0,0,0,0,1
1076,1.0,129.0,321242.0,88.0,0,1,0,0,0,0,0,0,0
51,1.0,115.0,3156.0,81.0,1,0,0,0,0,1,0,0,0
1749,1.0,107.0,257977.0,64.0,0,0,0,1,0,0,0,0,0
2856,1.0,48.0,5837.0,58.74590869939707,0,0,0,0,0,0,1,0,0
3244,1.0,101.0,34824.0,30.0,0,0,1,0,1,0,0,0,0
1978,1.0,97.0,7008.0,49.0,0,0,0,1,0,0,0,0,0
1149,1.0,95.0,142406.0,34.0,0,0,1,0,1,0,0,0,0
2633,1.0,87.0,36571.0,41.0,0,0,0,0,0,0,0,1,0
1559,1.0,122.0,5068.0,58.74590869939707,0,0,0,1,0,1,0,0,0
2628,1.0,103.0,24642.0,52.0,0,0,0,0,1,0,0,0,0
2606,1.0,113.0,62027.0,97.0,0,0,0,1,0,1,0,0,0
1652,1.0,98.0,29706.0,35.0,0,0,1,0,0,0,0,1,0
2384,1.0,129.0,377123.0,85.0,0,0,0,1,0,0,0,1,0
2537,1.0,107.0,80708.0,57.0,0,0,0,1,0,0,0,1,0
913,1.0,89.0,950.0,58.74590869939707,0,0,0,0,0,0,0,1,0
691,1.0,127.0,207034.0,43.0,1,0,0,0,0,1,0,0,0
969,1.0,116.0,7376.0,71.0,0,0,1,0,0,0,0,1,0
2418,1.0,90.0,5016.0,82.0,0,0,0,1,1,0,0,0,0
1937,1.0,97.0,53244.0,41.0,0,0,0,1,0,0,0,0,1
1006,1.0,202.0,1296223.0,90.0,0,1,0,0,0,0,0,0,0
2395,1.0,93.0,320099.0,58.0,0,0,0,1,0,0,1,0,0
2009,1.0,93.0,4346.0,58.0,0,0,0,0,0,0,0,0,0
1825,1.0,161.0,68704.0,95.0,1,0,0,0,0,1,0,0,0
2670,1.0,122.0,4982.0,33.0,0,0,1,0,0,0,0,0,0
